,Title,Relase,Audience Rating,Runtime,Genre,IMDB Rating,Votes,Box Office Earnings,Director,Actors,Description
0,This Is England,-2006,Not Rated,101 min,"Crime, Drama            ",7.7,"1,13,884","1,13,884",Shane Meadows,"['Thomas Turgoose', 'Stephen Graham', 'Jo Hartley', 'Andrew Shim']","A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit."
1,Ex Machina,-2014,R,108 min,"Drama, Mystery, Sci-Fi            ",7.7,"4,59,773","4,59,773",Alex Garland,"['Alicia Vikander', 'Domhnall Gleeson', 'Oscar Isaac', 'Sonoya Mizuno']",A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.
2,After the Wedding,-2006,R,120 min,Drama            ,7.7,"31,159","31,159",Susanne Bier,"['Mads Mikkelsen', 'Sidse Babett Knudsen', 'Rolf Lassgård', 'Neeral Mulchandani']","A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret."
3,The Last King of Scotland,-2006,R,123 min,"Biography, Drama, History            ",7.7,"1,72,318","1,72,318",Kevin Macdonald,"['James McAvoy', 'Forest Whitaker', 'Gillian Anderson', 'Kerry Washington']",Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.
4,Zodiac,-2007,R,157 min,"Crime, Drama, Mystery            ",7.7,"4,39,469","4,39,469",David Fincher,"['Jake Gyllenhaal', 'Robert Downey Jr.', 'Mark Ruffalo', 'Anthony Edwards']","In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
5,Lucky Number Slevin,-2006,R,110 min,"Crime, Drama, Mystery            ",7.7,"2,96,165","2,96,165",Paul McGuigan,"['Josh Hartnett', 'Ben Kingsley', 'Morgan Freeman', 'Lucy Liu']",A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses: The Rabbi and The Boss. Slevin is under constant surveillance by relentless Detective Brikowski as well as the infamous assassin Goodkat and finds himself having to hatch his own ingenious plot to get them before they get him.
6,Joyeux Noel,-2005,PG-13,116 min,"Drama, History, Music            ",7.7,"27,051","27,051",Christian Carion,"['Diane Kruger', 'Benno Fürmann', 'Guillaume Canet', 'Natalie Dessay']","In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life."
7,Control,-2007,R,122 min,"Biography, Drama, Music            ",7.7,"60,491","60,491",Anton Corbijn,"['Sam Riley', 'Samantha Morton', 'Craig Parkinson', 'Alexandra Maria Lara']","A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23."
8,Tangled,-2010,PG,100 min,"Animation, Adventure, Comedy            ",7.7,"3,94,268","3,94,268",Nathan Greno,"['Byron Howard', 'Mandy Moore', 'Zachary Levi', 'Donna Murphy']","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
9,Black Book,-2006,R,145 min,"Drama, Thriller, War            ",7.7,"71,296","71,296",Paul Verhoeven,"['Carice van Houten', 'Sebastian Koch', 'Thom Hoffman', 'Halina Reijn']","In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance."
10,Brokeback Mountain,-2005,R,134 min,"Drama, Romance            ",7.7,"3,15,755","3,15,755",Ang Lee,"['Jake Gyllenhaal', 'Heath Ledger', 'Michelle Williams', 'Randy Quaid']","The story of a forbidden and secretive relationship between two cowboys, and their lives over the years."
11,3:10 to Yuma,-2007,R,122 min,"Action, Crime, Drama            ",7.7,"2,82,522","2,82,522",James Mangold,"['Russell Crowe', 'Christian Bale', 'Ben Foster', 'Logan Lerman']",A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
12,Crash,(I) (2004),R,112 min,"Crime, Drama, Thriller            ",7.7,"4,14,147","4,14,147",Paul Haggis,"['Don Cheadle', 'Sandra Bullock', 'Thandie Newton', 'Karina Arroyave']","Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
13,Kung Fu Hustle,-2004,R,99 min,"Action, Comedy, Fantasy            ",7.7,"1,24,176","1,24,176",Stephen Chow,"['Stephen Chow', 'Wah Yuen', 'Qiu Yuen', 'Siu-Lung Leung']","In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf."
14,The Bourne Supremacy,-2004,PG-13,108 min,"Action, Mystery, Thriller            ",7.7,"4,25,654","4,25,654",Paul Greengrass,"['Matt Damon', 'Franka Potente', 'Joan Allen', 'Brian Cox']","When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive."
15,The Machinist,-2004,R,101 min,"Drama, Thriller            ",7.7,"3,49,357","3,49,357",Brad Anderson,"['Christian Bale', 'Jennifer Jason Leigh', 'Aitana Sánchez-Gijón', 'John Sharian']",An industrial worker who hasn't slept in a year begins to doubt his own sanity.
16,Ray,(I) (2004),PG-13,152 min,"Biography, Drama, Music            ",7.7,"1,35,570","1,35,570",Taylor Hackford,"['Jamie Foxx', 'Regina King', 'Kerry Washington', 'Clifton Powell']","The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s."
17,Lost in Translation,-2003,R,102 min,"Comedy, Drama            ",7.7,"4,00,810","4,00,810",Sofia Coppola,"['Bill Murray', 'Scarlett Johansson', 'Giovanni Ribisi', 'Anna Faris']",A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.
18,Harry Potter and the Goblet of Fire,-2005,PG-13,157 min,"Adventure, Family, Fantasy            ",7.7,"5,27,494","5,27,494",Mike Newell,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Eric Sykes']","Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares."
19,Man on Fire,-2004,R,146 min,"Action, Crime, Drama            ",7.7,"3,22,631","3,22,631",Tony Scott,"['Denzel Washington', 'Christopher Walken', 'Dakota Fanning', 'Radha Mitchell']","In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect."
20,Coraline,-2009,PG,100 min,"Animation, Drama, Family            ",7.7,"1,89,791","1,89,791",Henry Selick,"['Dakota Fanning', 'Teri Hatcher', 'John Hodgman', 'Jennifer Saunders']","An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets."
21,The Last Samurai,-2003,R,154 min,"Action, Drama, War            ",7.7,"3,90,105","3,90,105",Edward Zwick,"['Tom Cruise', 'Ken Watanabe', 'Billy Connolly', 'William Atherton']",An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.
22,The Magdalene Sisters,-2002,R,114 min,Drama            ,7.7,"25,531","25,531",Peter Mullan,"['Eileen Walsh', 'Dorothy Duffy', 'Nora-Jane Noone', 'Anne-Marie Duff']",Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.
23,21 Grams,-2003,R,124 min,"Crime, Drama, Thriller            ",7.7,"2,20,715","2,20,715",Alejandro G. Iñárritu,"['Sean Penn', 'Benicio Del Toro', 'Naomi Watts', 'Danny Huston']","A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con."
