ID,Title,Relase,Audience Rating,Runtime,Genre,IMDB Rating,Votes,Box Office Earnings,Director,Actors,Description,Genre1,Genre2,Genre3,Drama,Crime,Adventure,Romance,SciFi,War,Family,Music,Comedy,Mystery,Musical,Biography,Action,Western,Thriller,Horror,FilmNoir,Fantasy,Sport,History,clean_plot,genre_new
1,Dil Bechara,-2020,12+,101 min,"Comedy, Drama, Romance",9.5,"66,632","66,632",Mukesh Chhabra,"[Sushant Singh Rajput, Sanjana Sanghi, Sahil Vaid, Saswata Chatterjee]","The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, who she meets at a support group.",Comedy,Drama,Romance,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,emotional journey two hopelessly love youngsters young girl kizie suffering cancer boy manny meets support group,"['Comedy', ' Drama', ' Romance']"
2,The Shawshank Redemption,-1994,R,142 min,Drama,9.3,"22,65,597","22,65,597",Frank Darabont,"[Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler]","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Drama,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,two imprisoned men bond number years finding solace eventual redemption acts common decency,['Drama']
3,The Godfather,-1972,R,175 min,"Crime, Drama",9.2,"15,62,788","15,62,788",Francis Ford Coppola,"[Marlon Brando, Al Pacino, James Caan, Diane Keaton]",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Crime,Drama,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aging patriarch organized crime dynasty transfers control clandestine empire reluctant son,"['Crime', ' Drama']"
4,The Dark Knight,-2008,PG-13,152 min,"Action, Crime, Drama",9,"22,29,654","22,29,654",Christopher Nolan,"[Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine]","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Action,Crime,Drama,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,menace known joker wreaks havoc chaos people gotham batman must accept one greatest psychological physical tests ability fight injustice,"['Action', ' Crime', ' Drama']"
5,The Godfather: Part II,-1974,R,202 min,"Crime, Drama",9,"10,92,237","10,92,237",Francis Ford Coppola,"[Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton]","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Crime,Drama,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,early life career vito corleone new york city portrayed son michael expands tightens grip family crime syndicate,"['Crime', ' Drama']"
6,Hamilton,-2020,PG-13,160 min,"Biography, Drama, History",8.9,"28,172","28,172",Thomas Kail,"[Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry]","The real life of one of Americas foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",Biography,Drama,History,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,real life one americas foremost founding fathers first secretary treasury alexander hamilton captured live broadway richard rodgers theater original broadway cast,"['Biography', ' Drama', ' History']"
7,The Lord of the Rings: The Return of the King,-2003,PG-13,201 min,"Adventure, Drama, Fantasy",8.9,"15,97,118","15,97,118",Peter Jackson,"[Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom]",Gandalf and Aragorn lead the World of Men against Saurons army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Adventure,Drama,Fantasy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,gandalf aragorn lead world men saurons army draw gaze frodo sam approach mount doom one ring,"['Adventure', ' Drama', ' Fantasy']"
8,Pulp Fiction,-1994,R,154 min,"Crime, Drama",8.9,"17,71,506","17,71,506",Quentin Tarantino,"[John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis]","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Crime,Drama,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lives two mob hitmen boxer gangster wife pair diner bandits intertwine four tales violence redemption,"['Crime', ' Drama']"
9,Schindlers List,-1993,R,195 min,"Biography, Drama, History",8.9,"11,76,761","11,76,761",Steven Spielberg,"[Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall]","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Biography,Drama,History,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,german occupied poland world war ii industrialist oskar schindler gradually becomes concerned jewish workforce witnessing persecution nazis,"['Biography', ' Drama', ' History']"
10,12 Angry Men,-1957,Approved,96 min,"Crime, Drama",8.9,"6,63,962","6,63,962",Sidney Lumet,"[Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler]",A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Crime,Drama,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jury holdout attempts prevent miscarriage justice forcing colleagues reconsider evidence,"['Crime', ' Drama']"
11,Inception,-2010,PG-13,148 min,"Action, Adventure, SciFi",8.8,"19,87,627","19,87,627",Christopher Nolan,"[Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe]",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,Action,Adventure,SciFi,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,thief steals corporate secrets use dream sharing technology given inverse task planting idea mind c e,"['Action', ' Adventure', ' SciFi']"
12,Fight Club,-1999,R,139 min,Drama,8.8,"17,98,590","17,98,590",David Fincher,"[Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier]","An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",Drama,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,insomniac office worker devil may care soapmaker form underground fight club evolves something much much,['Drama']
13,The Lord of the Rings: The Fellowship of the Ring,-2001,PG-13,178 min,"Action, Adventure, Drama",8.8,"16,12,619","16,12,619",Peter Jackson,"[Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean]",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Action,Adventure,Drama,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,meek hobbit shire eight companions set journey destroy powerful one ring save middle earth dark lord sauron,"['Action', ' Adventure', ' Drama']"
14,Forrest Gump,-1994,PG-13,142 min,"Drama, Romance",8.8,"17,45,749","17,45,749",Robert Zemeckis,"[Tom Hanks, Robin Wright, Gary Sinise, Sally Field]","The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Drama,Romance,None,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,presidencies kennedy johnson events vietnam watergate historical events unfold perspective alabama man iq whose desire reunited childhood sweetheart,"['Drama', ' Romance']"
15,"The Good, the Bad and the Ugly",-1966,R,178 min,Western,8.8,"6,68,852","6,68,852",Sergio Leone,"[Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè]",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Western,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,bounty hunting scam joins two men uneasy alliance third race find fortune gold buried remote cemetery,['Western']
