,Title,Description
0,Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
1,Shaun of the Dead,A man's uneventful life is disrupted by the zombie apocalypse.
2,Gegen die Wand,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love."
3,Mystic River,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.
4,Harry Potter and the Prisoner of Azkaban,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard."
5,Ying xiong,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors."
6,Hable con ella,Two men share an odd friendship while they care for two women who are both in deep comas.
7,No Man's Land,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap."
8,Cowboy Bebop: Tengoku no tobira,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit."
9,The Bourne Identity,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory."
10,Nueve reinas,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"")."
11,Children of Men,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
12,Almost Famous,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.
13,Toy Story 2,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."
14,Boogie Nights,The story of a young man's adventures in the California pornography industry of the late 1970s and early 1980s.
15,Mimi wo sumaseba,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses."
16,Once Were Warriors,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.
17,True Romance,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it."
18,Trois couleurs: Bleu,A woman struggles to find a way to live her life after the death of her husband and child.
19,Jûbê ninpûchô,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.
20,Carlito's Way,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C."
21,Edward Scissorhands,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world."
22,My Left Foot: The Story of Christy Brown,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot."
23,Do the Right Thing,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence."
24,Crimes and Misdemeanors,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.
25,The Untouchables,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him."
26,Hannah and Her Sisters,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly."
27,The Breakfast Club,Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.
28,Brazil,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.
29,This Is Spinal Tap,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour."
30,A Christmas Story,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift."
31,The Blues Brothers,"Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised."
32,Manhattan,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.
33,All That Jazz,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer."
34,Dawn of the Dead,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall."
35,La montaña sagrada,"In a corrupt, greed-fueled world, a powerful alchemist leads a Christ-like character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment."
36,Amarcord,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.
37,Le charme discret de la bourgeoisie,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together."
38,"Aguirre, der Zorn Gottes","In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado."
39,Harold and Maude,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral."
40,Patton,The World War II phase of the career of controversial American general George S. Patton.
41,The Wild Bunch,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them."
42,Night of the Living Dead,"A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a bloodthirsty, flesh-eating breed of monsters who are ravaging the East Coast of the United States."
43,The Lion in Winter,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him."
44,In the Heat of the Night,A black police detective is asked to investigate a murder in a racially hostile southern town.
45,Charade,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?
46,The Manchurian Candidate,A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.
47,Spartacus,The slave Spartacus leads a violent revolt against the decadent Roman Republic.
48,L'avventura,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other."
49,À bout de souffle,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy."
50,Hiroshima mon amour,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.
51,The Searchers,An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.
52,East of Eden,A wilful young man contends against his brother for the attention of their religious father while reconnecting with his estranged mother and falling for his brother's girlfriend.
53,High Noon,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train."
54,Harvey,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows."
55,Miracle on 34th Street,"When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing."
56,Notorious,A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?
57,The Big Sleep,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love."
58,The Lost Weekend,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.
59,The Philadelphia Story,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself."
60,His Girl Friday,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.
61,Stagecoach,A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.
62,Bringing Up Baby,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby."
63,The Adventures of Robin Hood,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army."
64,A Night at the Opera,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.
65,King Kong,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.
66,Freaks,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance."
67,Nosferatu,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.
68,The Salesman,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections."
69,Perfetti sconosciuti,"Seven long-time friends get together for a dinner. When they decide to share with each other the content of every text message, email and phone call they receive, many secrets start to unveil and the equilibrium trembles."
70,Hidden Figures,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
71,Paddington 2,"Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen."
72,Udta Punjab,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.
73,Kubo and the Two Strings,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.
74,Manchester by the Sea,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
75,Under sandet,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight."
76,Rogue One,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.
77,Captain America: Civil War,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
78,The Hateful Eight,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
79,Loving Vincent,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there."
80,Pride,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.
81,Le passé,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce."
82,La grande bellezza,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty."
83,The Lunchbox,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.
84,Vicky Donor,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic."
85,Big Hero 6,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes."
86,About Time,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
87,English Vinglish,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English."
88,The Broken Circle Breakdown,"Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial."
89,Kaze tachinu,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II."
90,Toy Story 4,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
91,La migliore offerta,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.
92,Moonrise Kingdom,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
93,How to Train Your Dragon 2,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
94,The Big Short,In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.
95,Kokuhaku,A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.
96,Ang-ma-reul bo-at-da,A secret agent exacts revenge on a serial killer through a series of captures and releases.
97,The Girl with the Dragon Tattoo,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker."
98,Captain Phillips,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
99,Ajeossi,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.
100,Straight Outta Compton,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood."
101,Madeo,A mother desperately searches for the killer who framed her son for a girl's horrific murder.
102,The Hobbit: The Desolation of Smaug,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
